Ano,Inversion,Ahorro en recibo CFE,Ahorro Neto Anual,Ahorro Acumulado
0,-1110000.0,0.0,0.0,-1110000.0
1,0.0,499012.44,499012.44,-610987.56
2,0.0,538933.44,538933.44,-72054.12
3,0.0,582048.11,582048.11,509993.99
4,0.0,628611.96,628611.96,1138605.94
5,0.0,678900.92,678900.92,1817506.86
6,0.0,733212.99,733212.99,2550719.85
7,0.0,791870.03,791870.03,3342589.88
8,0.0,855219.63,855219.63,4197809.51
9,0.0,923637.2,923637.2,5121446.71
10,0.0,997528.18,997528.18,6118974.88
