Ano,Inversion,Ahorro en recibo CFE,Ahorro Neto Anual,Ahorro Acumulado
0,-925000.0,0.0,0.0,-925000.0
1,0.0,419000.81,419000.81,-505999.19
2,0.0,452520.87,452520.87,-53478.32
3,0.0,488722.54,488722.54,435244.23
4,0.0,527820.35,527820.35,963064.58
5,0.0,570045.98,570045.98,1533110.55
6,0.0,615649.65,615649.65,2148760.21
7,0.0,664901.63,664901.63,2813661.84
8,0.0,718093.76,718093.76,3531755.59
9,0.0,775541.26,775541.26,4307296.85
10,0.0,837584.56,837584.56,5144881.41
